Title, Genre, Url
Al Wisal FM,top 40,http://212.71.250.12:8067/stream
Ambient Radio .org - Deeply Beautiful Chillout Music - A Heavenly World of Sound,ambient;chillout;meditation;lounge;new age,http://uk2.internet-radio.com:31491/
Atom Radio,pop;oldies;top 40,http://178.79.158.160:8520/stream
Box UK Radio danceradiouk,top 40;pop;80s;rock;easy,http://uk7.internet-radio.com:8226/stream
Classic Rock Florida HD,classic rock;rock,http://198.58.98.83:8258/stream
Classic Rock Planet ,classic rock;rock;60s;70s;80s,http://us5.internet-radio.com:8279/stream
CLASSIC ROCK RADIO  HD,classic rock;rock;60s;70s;80s,http://us5.internet-radio.com:8267/stream
Current Hits FM,top 40,http://us3.internet-radio.com:8317/live
Dance Attack FM - The best EDM,dance;trance;edm;house;progressive;psytrance,http://uk4.internet-radio.com:8049/stream
Dance UK Radio danceradiouk,dance;house;trance;electro;top 40,http://uk2.internet-radio.com:8024/stream
Energy FM Tenerife Canary Islands,pop;dance;trance;top 40,http://uk1.internet-radio.com:15614/
EZ Hits South Florida,,http://us4.internet-radio.com:8197/stream
KNKl Pirate Radio Sturgis,rock;classic rock;oldies;top 40,http://198.58.98.83:8223/stream
Majestic Jukebox Radio #HIGH QUALITY SOUND,oldies;rock;rockabilly;easy listening;jazz;blues;country;soul;swing;40s;50s;60s;70s;80s,http://uk3.internet-radio.com:8405/live
MEGATON CAFE RADIO,swing;jazz;blues;big band;oldies,http://us2.internet-radio.com:8443/stream
Merge 104.8,top 40;90s;80s;pop,http://212.71.250.12:8040/stream
MoveDaHouse,house;techno;dance;electronic,http://212.71.250.12:8000/stream
Oxide Radio Live,top 40;comedy,http://109.74.196.76:8032/stream
PARTY VIBE MUSIC : ALL THE HITS ALL THE TIME,80s;dance;top 40;disco;pop,http://uk6.internet-radio.com:8124/stream
Radio Cherwell - Hospital Radio in Oxford,classical;country;easy listening;top 40,http://178.79.158.160:8144/stream
RADIO ESTILO LEBLON,lounge;easy listening;jazz;chill;bossa,http://198.58.98.83:8193/stream
Rainbow Sound UK,easy listening;top 40;oldies,http://139.162.245.57:8163/stream
Real Dance Radio,dance;edm;top 40;90s;house,http://uk6.internet-radio.com:8096/live
Smooth Jazz Florida,smooth jazz,http://us4.internet-radio.com:8266/stream
Stoke Mandeville Hospital Radio,top 40;soundtracks;easy listening;talk,http://139.162.245.57:8237/stream
Time 2 Dance Radio,dance;top 40;hip hop;house,http://uk6.internet-radio.com:8332/stream
VIRGIN RADIO OMAN,top 40,http://139.162.245.57:8115/stream
Wakanda Free Trade Zone™,easy listening;dance;pop;urban;top 40,http://uk2.internet-radio.com:8339/stream
